semente,dominio,robotstxt,localpath,htmlname
https://www.srlupa.com.br,srlupa.com.br,FALSE,pages/sementes/srlupa/,srlupa
https://serviceira.com,serviceira.com,FALSE,pages/sementes/serviceira/,serviceira
https://conectu.com.br,conectu.com.br,FALSE,pages/sementes/conectu/,conectu
https://www.achouservicos.com.br,achouservicos.com.br,FALSE,pages/sementes/achouservicos/,achouservicos
https://www.telelistas.net/br/clinicas+de+psicologia,telelistas.net,TRUE,pages/sementes/telelistas/clinicasdepsicologia/,clinicasdepsicologia
https://www.telelistas.net/br/clinicas+psiquiatricas,telelistas.net,TRUE,pages/sementes/telelistas/clinicaspsiquiatricas/,clinicaspsiquiatricas
https://www.telelistas.net/br/psicanalistas,telelistas.net,TRUE,pages/sementes/telelistas/psicanalistas/,psicanalistas
https://www.telelistas.net/br/psicologos,telelistas.net,TRUE,pages/sementes/telelistas/psicologos/,psicologos
https://www.telelistas.net/br/psicopedagogos,telelistas.net,TRUE,pages/sementes/telelistas/psicopedagogos/,psicopedagogos
https://freelancer.com.br,freelancer.com.br,TRUE,pages/sementes/freelancer/,freelancer
https://www.doctoralia.com.br/medicos/especialidade/psicologos-1434,doctoralia.com.br,TRUE,pages/sementes/doctoralia/,doctoralia
https://www.psicologosdobrasil.com.br,psicologosdobrasil.com.br,FALSE,pages/sementes/psicologosdobrasil/,psicologosdobrasil
https://www.psicologiaviva.com.br/,psicologiaviva.com.br,TRUE,pages/sementes/psicologiaviva/,psicologiaviva